"","accession_number","virus_family"
"1","NC_016144","Filoviridae"
"2","NC_055510","Filoviridae"
"3","NC_039345","Filoviridae"
"4","NC_014373","Filoviridae"
"5","NC_004161","Filoviridae"
"6","NC_006432","Filoviridae"
"7","NC_014372","Filoviridae"
"8","NC_002549","Filoviridae"
"9","NC_001608","Filoviridae"
"10","NC_024781","Filoviridae"
"11","NC_055175","Filoviridae"
"12","NC_055176","Filoviridae"
"13","NC_032430","Artoviridae"
"14","NC_032555","Artoviridae"
"15","NC_032558","Artoviridae"
"16","NC_055115","Artoviridae"
"17","NC_055114","Artoviridae"
"18","NC_055113","Artoviridae"
"19","NC_038269","Artoviridae"
"20","NC_039013","Bornaviridae"
"21","NC_039014","Bornaviridae"
"22","NC_055169","Bornaviridae"
"23","NC_029642","Bornaviridae"
"24","NC_030691","Bornaviridae"
"25","NC_001607","Bornaviridae"
"26","NC_030692","Bornaviridae"
"27","NC_030690","Bornaviridae"
"28","NC_027892","Bornaviridae"
"29","NC_024296","Bornaviridae"
"30","NC_038268","Bornaviridae"
"31","NC_024778","Bornaviridae"
"32","NC_039189","Bornaviridae"
"33","NC_028106","Bornaviridae"
"34","NC_030688","Bornaviridae"
"35","NC_030689","Bornaviridae"
"36","NC_039190","Bornaviridae"
"37","NC_030701","Bornaviridae"
"38","NC_031259","Lispiviridae"
"39","NC_032944","Lispiviridae"
"40","NC_031270","Lispiviridae"
"41","NC_032929","Lispiviridae"
"42","NC_033436","Lispiviridae"
"43","NC_031088","Lispiviridae"
"44","NC_043483","Mymonaviridae"
"45","NC_032783","Mymonaviridae"
"46","NC_025383","Mymonaviridae"
"47","NC_026732","Mymonaviridae"
"48","NC_043486","Nyamiviridae"
"49","NC_032543","Nyamiviridae"
"50","NC_032544","Nyamiviridae"
"51","NC_032541","Nyamiviridae"
"52","NC_032793","Nyamiviridae"
"53","NC_031275","Nyamiviridae"
"54","NC_012702","Nyamiviridae"
"55","NC_012703","Nyamiviridae"
"56","NC_024376","Nyamiviridae"
"57","NC_043485","Nyamiviridae"
"58","NC_024702","Nyamiviridae"
"59","NC_033450","Nyamiviridae"
"60","NC_033451","Nyamiviridae"
"61","NC_039017","Paramyxoviridae"
"62","NC_039018","Paramyxoviridae"
"63","NC_039019","Paramyxoviridae"
"64","NC_025407","Paramyxoviridae"
"65","NC_039230","Paramyxoviridae"
"66","NC_040796","Paramyxoviridae"
"67","NC_025361","Paramyxoviridae"
"68","NC_039194","Paramyxoviridae"
"69","NC_025347","Paramyxoviridae"
"70","NC_039195","Paramyxoviridae"
"71","NC_039223","Paramyxoviridae"
"72","NC_025363","Paramyxoviridae"
"73","NC_025390","Paramyxoviridae"
"74","NC_025373","Paramyxoviridae"
"75","NC_039015","Paramyxoviridae"
"76","NC_034968","Paramyxoviridae"
"77","NC_019531","Paramyxoviridae"
"78","NC_039016","Paramyxoviridae"
"79","NC_030231","Paramyxoviridae"
"80","NC_025349","Paramyxoviridae"
"81","NC_005036","Paramyxoviridae"
"82","NC_007803","Paramyxoviridae"
"83","NC_002161","Paramyxoviridae"
"84","NC_001921","Paramyxoviridae"
"85","NC_028362","Paramyxoviridae"
"86","NC_025351","Paramyxoviridae"
"87","NC_005283","Paramyxoviridae"
"88","NC_039196","Paramyxoviridae"
"89","NC_005084","Paramyxoviridae"
"90","NC_025256","Paramyxoviridae"
"91","NC_001906","Paramyxoviridae"
"92","NC_003461","Paramyxoviridae"
"93","NC_001796","Paramyxoviridae"
"94","NC_038270","Paramyxoviridae"
"95","NC_007454","Paramyxoviridae"
"96","NC_001498","Paramyxoviridae"
"97","NC_025352","Paramyxoviridae"
"98","NC_005339","Paramyxoviridae"
