genome_region,host,country,isolation,collection_date,strain
NP,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp35,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp40,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
GP-Spike,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp30,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp24,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
L,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
NP,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp35,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp40,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
GP-Spike,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp30,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp24,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
L,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
NP,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp35,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp40,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
GP-Spike,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp30,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp24,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
L,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
NP,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp35,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp40,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
GP-Spike,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp30,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
vp24,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
L,Homo sapiens,Democratic Republic of the Congo,blood,2012,bundibugyo
NP,Homo sapiens,Uganda,blood,2007/11,bundibugyo
vp35,Homo sapiens,Uganda,blood,2007/11,bundibugyo
vp40,Homo sapiens,Uganda,blood,2007/11,bundibugyo
GP-Small,Homo sapiens,Uganda,blood,2007/11,bundibugyo
GP-Spike,Homo sapiens,Uganda,blood,2007/11,bundibugyo
vp30,Homo sapiens,Uganda,blood,2007/11,bundibugyo
vp24,Homo sapiens,Uganda,blood,2007/11,bundibugyo
L,Homo sapiens,Uganda,blood,2007/11,bundibugyo
GP-Second,Homo sapiens,Uganda,blood,2007/11,bundibugyo
NP,Homo sapiens,Uganda,NA,2007/11/14,bundibugyo
vp35,Homo sapiens,Uganda,NA,2007/11/14,bundibugyo
vp40,Homo sapiens,Uganda,NA,2007/11/14,bundibugyo
GP-Second,Homo sapiens,Uganda,NA,2007/11/14,bundibugyo
GP-Small,Homo sapiens,Uganda,NA,2007/11/14,bundibugyo
GP-Spike,Homo sapiens,Uganda,NA,2007/11/14,bundibugyo
vp30,Homo sapiens,Uganda,NA,2007/11/14,bundibugyo
vp24,Homo sapiens,Uganda,NA,2007/11/14,bundibugyo
L,Homo sapiens,Uganda,NA,2007/11/14,bundibugyo
NP,Homo sapiens,Uganda,NA,2007/10/01,bundibugyo
vp35,Homo sapiens,Uganda,NA,2007/10/01,bundibugyo
vp40,Homo sapiens,Uganda,NA,2007/10/01,bundibugyo
GP-Second,Homo sapiens,Uganda,NA,2007/10/01,bundibugyo
GP-Small,Homo sapiens,Uganda,NA,2007/10/01,bundibugyo
GP-Spike,Homo sapiens,Uganda,NA,2007/10/01,bundibugyo
vp30,Homo sapiens,Uganda,NA,2007/10/01,bundibugyo
vp24,Homo sapiens,Uganda,NA,2007/10/01,bundibugyo
L,Homo sapiens,Uganda,NA,2007/10/01,bundibugyo
NP,Homo sapiens,Cote d'Ivoire,blood,1994,tai_forest
vp35,Homo sapiens,Cote d'Ivoire,blood,1994,tai_forest
vp40,Homo sapiens,Cote d'Ivoire,blood,1994,tai_forest
GP-Spike,Homo sapiens,Cote d'Ivoire,blood,1994,tai_forest
GP-Small,Homo sapiens,Cote d'Ivoire,blood,1994,tai_forest
GP-Second,Homo sapiens,Cote d'Ivoire,blood,1994,tai_forest
vp30,Homo sapiens,Cote d'Ivoire,blood,1994,tai_forest
vp24,Homo sapiens,Cote d'Ivoire,blood,1994,tai_forest
L,Homo sapiens,Cote d'Ivoire,blood,1994,tai_forest
NP,Homo sapiens,Cote d'Ivoire,NA,1994/11/27,tai_forest
vp35,Homo sapiens,Cote d'Ivoire,NA,1994/11/27,tai_forest
vp40,Homo sapiens,Cote d'Ivoire,NA,1994/11/27,tai_forest
NA,Homo sapiens,Cote d'Ivoire,NA,1994/11/27,tai_forest
GP-Small,Homo sapiens,Cote d'Ivoire,NA,1994/11/27,tai_forest
GP-Spike,Homo sapiens,Cote d'Ivoire,NA,1994/11/27,tai_forest
vp30,Homo sapiens,Cote d'Ivoire,NA,1994/11/27,tai_forest
vp24,Homo sapiens,Cote d'Ivoire,NA,1994/11/27,tai_forest
L,Homo sapiens,Cote d'Ivoire,NA,1994/11/27,tai_forest
L,NA,NA,NA,1979,sudan
GP-Spike,NA,NA,NA,NA,sudan
GP-Small,NA,NA,NA,NA,sudan
NP,NA,NA,NA,NA,sudan
GP-Small,NA,NA,NA,NA,sudan
GP-Spike,NA,NA,NA,NA,sudan
NP,Homo sapiens,Uganda,blood,2011/05,sudan
vp35,Homo sapiens,Uganda,blood,2011/05,sudan
vp40,Homo sapiens,Uganda,blood,2011/05,sudan
vp30,Homo sapiens,Uganda,blood,2011/05,sudan
vp24,Homo sapiens,Uganda,blood,2011/05,sudan
L,Homo sapiens,Uganda,blood,2011/05,sudan
GP-Small,Homo sapiens,Uganda,blood,2011/05,sudan
GP-Spike,Homo sapiens,Uganda,blood,2011/05,sudan
NP,Suidae,NA,NA,NA,sudan
vp35,Suidae,NA,NA,NA,sudan
vp40,Suidae,NA,NA,NA,sudan
GP-Spike,Suidae,NA,NA,NA,sudan
GP-Small,Suidae,NA,NA,NA,sudan
vp30,Suidae,NA,NA,NA,sudan
vp24,Suidae,NA,NA,NA,sudan
L,Suidae,NA,NA,NA,sudan
NP,Homo sapiens,Sudan,NA,2004,sudan
vp35,Homo sapiens,Sudan,NA,2004,sudan
vp40,Homo sapiens,Sudan,NA,2004,sudan
GP-Small,Homo sapiens,Sudan,NA,2004,sudan
GP-Spike,Homo sapiens,Sudan,NA,2004,sudan
vp30,Homo sapiens,Sudan,NA,2004,sudan
vp24,Homo sapiens,Sudan,NA,2004,sudan
L,Homo sapiens,Sudan,NA,2004,sudan
NP,Homo sapiens,Uganda,blood,2012,sudan
vp35,Homo sapiens,Uganda,blood,2012,sudan
vp40,Homo sapiens,Uganda,blood,2012,sudan
GP-Spike,Homo sapiens,Uganda,blood,2012,sudan
vp30,Homo sapiens,Uganda,blood,2012,sudan
vp24,Homo sapiens,Uganda,blood,2012,sudan
L,Homo sapiens,Uganda,blood,2012,sudan
NP,Homo sapiens,Uganda,blood,2012,sudan
vp35,Homo sapiens,Uganda,blood,2012,sudan
vp40,Homo sapiens,Uganda,blood,2012,sudan
GP-Spike,Homo sapiens,Uganda,blood,2012,sudan
vp30,Homo sapiens,Uganda,blood,2012,sudan
vp24,Homo sapiens,Uganda,blood,2012,sudan
L,Homo sapiens,Uganda,blood,2012,sudan
NP,Homo sapiens,Uganda,blood,2012,sudan
vp35,Homo sapiens,Uganda,blood,2012,sudan
vp40,Homo sapiens,Uganda,blood,2012,sudan
GP-Spike,Homo sapiens,Uganda,blood,2012,sudan
vp30,Homo sapiens,Uganda,blood,2012,sudan
vp24,Homo sapiens,Uganda,blood,2012,sudan
L,Homo sapiens,Uganda,blood,2012,sudan
NP,Homo sapiens,Uganda,blood,2012,sudan
vp35,Homo sapiens,Uganda,blood,2012,sudan
vp40,Homo sapiens,Uganda,blood,2012,sudan
GP-Spike,Homo sapiens,Uganda,blood,2012,sudan
vp30,Homo sapiens,Uganda,blood,2012,sudan
vp24,Homo sapiens,Uganda,blood,2012,sudan
L,Homo sapiens,Uganda,blood,2012,sudan
NP,Homo sapiens,Uganda,blood,2012,sudan
vp35,Homo sapiens,Uganda,blood,2012,sudan
vp40,Homo sapiens,Uganda,blood,2012,sudan
GP-Spike,Homo sapiens,Uganda,blood,2012,sudan
vp30,Homo sapiens,Uganda,blood,2012,sudan
vp24,Homo sapiens,Uganda,blood,2012,sudan
L,Homo sapiens,Uganda,blood,2012,sudan
NP,Homo sapiens,Sudan,blood,1976,sudan
vp35,Homo sapiens,Sudan,blood,1976,sudan
vp40,Homo sapiens,Sudan,blood,1976,sudan
GP-Spike,Homo sapiens,Sudan,blood,1976,sudan
GP-Small,Homo sapiens,Sudan,blood,1976,sudan
GP-Second,Homo sapiens,Sudan,blood,1976,sudan
vp30,Homo sapiens,Sudan,blood,1976,sudan
vp24,Homo sapiens,Sudan,blood,1976,sudan
L,Homo sapiens,Sudan,blood,1976,sudan
NP,Homo sapiens,Sudan,blood,2004,sudan
vp35,Homo sapiens,Sudan,blood,2004,sudan
vp40,Homo sapiens,Sudan,blood,2004,sudan
GP-Spike,Homo sapiens,Sudan,blood,2004,sudan
GP-Small,Homo sapiens,Sudan,blood,2004,sudan
GP-Second,Homo sapiens,Sudan,blood,2004,sudan
vp30,Homo sapiens,Sudan,blood,2004,sudan
vp24,Homo sapiens,Sudan,blood,2004,sudan
L,Homo sapiens,Sudan,blood,2004,sudan
NP,Homo sapiens,Uganda,NA,2000/10/01,sudan
vp35,Homo sapiens,Uganda,NA,2000/10/01,sudan
vp40,Homo sapiens,Uganda,NA,2000/10/01,sudan
NA,Homo sapiens,Uganda,NA,2000/10/01,sudan
GP-Small,Homo sapiens,Uganda,NA,2000/10/01,sudan
GP-Spike,Homo sapiens,Uganda,NA,2000/10/01,sudan
vp30,Homo sapiens,Uganda,NA,2000/10/01,sudan
vp24,Homo sapiens,Uganda,NA,2000/10/01,sudan
L,Homo sapiens,Uganda,NA,2000/10/01,sudan
NP,Homo sapiens,Uganda,NA,2000,sudan
vp35,Homo sapiens,Uganda,NA,2000,sudan
vp40,Homo sapiens,Uganda,NA,2000,sudan
GP-Spike,Homo sapiens,Uganda,NA,2000,sudan
GP-Small,Homo sapiens,Uganda,NA,2000,sudan
GP-Second,Homo sapiens,Uganda,NA,2000,sudan
vp30,Homo sapiens,Uganda,NA,2000,sudan
vp24,Homo sapiens,Uganda,NA,2000,sudan
L,Homo sapiens,Uganda,NA,2000,sudan
L,NA,Uganda,NA,NA,sudan
NP,Homo sapiens,Uganda,blood,2000/10,sudan
vp35,Homo sapiens,Uganda,blood,2000/10,sudan
vp40,Homo sapiens,Uganda,blood,2000/10,sudan
GP-Spike,Homo sapiens,Uganda,blood,2000/10,sudan
GP-Small,Homo sapiens,Uganda,blood,2000/10,sudan
vp30,Homo sapiens,Uganda,blood,2000/10,sudan
vp24,Homo sapiens,Uganda,blood,2000/10,sudan
L,Homo sapiens,Uganda,blood,2000/10,sudan
NP,Homo sapiens,Uganda,blood,2000/10,sudan
vp35,Homo sapiens,Uganda,blood,2000/10,sudan
vp40,Homo sapiens,Uganda,blood,2000/10,sudan
GP-Spike,Homo sapiens,Uganda,blood,2000/10,sudan
GP-Small,Homo sapiens,Uganda,blood,2000/10,sudan
vp30,Homo sapiens,Uganda,blood,2000/10,sudan
vp24,Homo sapiens,Uganda,blood,2000/10,sudan
L,Homo sapiens,Uganda,blood,2000/10,sudan
NP,Homo sapiens,Sudan,NA,1979,sudan
vp35,Homo sapiens,Sudan,NA,1979,sudan
vp40,Homo sapiens,Sudan,NA,1979,sudan
GP-Spike,Homo sapiens,Sudan,NA,1979,sudan
vp30,Homo sapiens,Sudan,NA,1979,sudan
vp24,Homo sapiens,Sudan,NA,1979,sudan
L,Homo sapiens,Sudan,NA,1979,sudan
GP-Small,Homo sapiens,Sudan,NA,1979,sudan
NP,NA,Canada,NA,2015/03/01,sudan
vp35,NA,Canada,NA,2015/03/01,sudan
vp40,NA,Canada,NA,2015/03/01,sudan
GP-Spike,NA,Canada,NA,2015/03/01,sudan
GP-Small,NA,Canada,NA,2015/03/01,sudan
vp30,NA,Canada,NA,2015/03/01,sudan
vp24,NA,Canada,NA,2015/03/01,sudan
L,NA,Canada,NA,2015/03/01,sudan
NP,Homo sapiens,Sudan,NA,2000/10/16,sudan
vp35,Homo sapiens,Sudan,NA,2000/10/16,sudan
vp40,Homo sapiens,Sudan,NA,2000/10/16,sudan
NA,Homo sapiens,Sudan,NA,2000/10/16,sudan
GP-Small,Homo sapiens,Sudan,NA,2000/10/16,sudan
GP-Spike,Homo sapiens,Sudan,NA,2000/10/16,sudan
vp30,Homo sapiens,Sudan,NA,2000/10/16,sudan
vp24,Homo sapiens,Sudan,NA,2000/10/16,sudan
L,Homo sapiens,Sudan,NA,2000/10/16,sudan
NP,Tissue culture cells,Sudan,"liver,abdominal cavity",1976,sudan
vp35,Tissue culture cells,Sudan,"liver,abdominal cavity",1976,sudan
vp40,Tissue culture cells,Sudan,"liver,abdominal cavity",1976,sudan
GP-Spike,Tissue culture cells,Sudan,"liver,abdominal cavity",1976,sudan
GP-Small,Tissue culture cells,Sudan,"liver,abdominal cavity",1976,sudan
vp30,Tissue culture cells,Sudan,"liver,abdominal cavity",1976,sudan
vp24,Tissue culture cells,Sudan,"liver,abdominal cavity",1976,sudan
L,Tissue culture cells,Sudan,"liver,abdominal cavity",1976,sudan
GP-Small,NA,Uganda,NA,NA,sudan
GP-Spike,NA,Uganda,NA,NA,sudan
GP-Spike,NA,NA,NA,NA,sudan
GP-Small,NA,NA,NA,NA,sudan
NP,Homo sapiens,Uganda,NA,2000,sudan
vp35,Homo sapiens,Uganda,NA,2000,sudan
vp40,Homo sapiens,Uganda,NA,2000,sudan
GP-Small,Homo sapiens,Uganda,NA,2000,sudan
GP-Spike,Homo sapiens,Uganda,NA,2000,sudan
vp30,Homo sapiens,Uganda,NA,2000,sudan
