"accession","biosample_acc","length","genome_region","host","country","isolation","collection_date","release_date","name"
"AKT08837","","739","NP","Homo sapiens","Sierra Leone","blood","2015/02/19","2015/08/04","Zaire ebolavirus isolate Ebola virus H.sapiens-wt/SLE/2015/Makona-Goderich1, complete genome"
"AKT08838","","340","vp35","Homo sapiens","Sierra Leone","blood","2015/02/19","2015/08/04","Zaire ebolavirus isolate Ebola virus H.sapiens-wt/SLE/2015/Makona-Goderich1, complete genome"
"AKT08839","","326","vp40","Homo sapiens","Sierra Leone","blood","2015/02/19","2015/08/04","Zaire ebolavirus isolate Ebola virus H.sapiens-wt/SLE/2015/Makona-Goderich1, complete genome"
"AKT08840","","676","GP-Spike","Homo sapiens","Sierra Leone","blood","2015/02/19","2015/08/04","Zaire ebolavirus isolate Ebola virus H.sapiens-wt/SLE/2015/Makona-Goderich1, complete genome"
"AKT08841","","364","GP-Small","Homo sapiens","Sierra Leone","blood","2015/02/19","2015/08/04","Zaire ebolavirus isolate Ebola virus H.sapiens-wt/SLE/2015/Makona-Goderich1, complete genome"
"AKT08842","","297","GP-Second","Homo sapiens","Sierra Leone","blood","2015/02/19","2015/08/04","Zaire ebolavirus isolate Ebola virus H.sapiens-wt/SLE/2015/Makona-Goderich1, complete genome"
"AKT08843","","288","vp30","Homo sapiens","Sierra Leone","blood","2015/02/19","2015/08/04","Zaire ebolavirus isolate Ebola virus H.sapiens-wt/SLE/2015/Makona-Goderich1, complete genome"
"AKT08844","","251","vp24","Homo sapiens","Sierra Leone","blood","2015/02/19","2015/08/04","Zaire ebolavirus isolate Ebola virus H.sapiens-wt/SLE/2015/Makona-Goderich1, complete genome"
"AKT08845","","2212","L","Homo sapiens","Sierra Leone","blood","2015/02/19","2015/08/04","Zaire ebolavirus isolate Ebola virus H.sapiens-wt/SLE/2015/Makona-Goderich1, complete genome"
"AIO11746","","2212","L","Homo sapiens","Democratic Republic of the Congo","blood","2014","2014/10/17","Zaire ebolavirus isolate Ebola virus/H.sap-wt/COD/2014/Boende-Lokolia, partial genome"
"AIO11747","","739","NP","Homo sapiens","Democratic Republic of the Congo","blood","2014","2014/10/17","Zaire ebolavirus isolate Ebola virus/H.sap-wt/COD/2014/Boende-Lokolia, partial genome"
"AIO11748","","340","vp35","Homo sapiens","Democratic Republic of the Congo","blood","2014","2014/10/17","Zaire ebolavirus isolate Ebola virus/H.sap-wt/COD/2014/Boende-Lokolia, partial genome"
"AIO11749","","326","vp40","Homo sapiens","Democratic Republic of the Congo","blood","2014","2014/10/17","Zaire ebolavirus isolate Ebola virus/H.sap-wt/COD/2014/Boende-Lokolia, partial genome"
"AIO11750","","288","vp30","Homo sapiens","Democratic Republic of the Congo","blood","2014","2014/10/17","Zaire ebolavirus isolate Ebola virus/H.sap-wt/COD/2014/Boende-Lokolia, partial genome"
"AIO11751","","251","vp24","Homo sapiens","Democratic Republic of the Congo","blood","2014","2014/10/17","Zaire ebolavirus isolate Ebola virus/H.sap-wt/COD/2014/Boende-Lokolia, partial genome"
"AIO11752","","364","GP-Small","Homo sapiens","Democratic Republic of the Congo","blood","2014","2014/10/17","Zaire ebolavirus isolate Ebola virus/H.sap-wt/COD/2014/Boende-Lokolia, partial genome"
"AIO11753","","676","GP-Spike","Homo sapiens","Democratic Republic of the Congo","blood","2014","2014/10/17","Zaire ebolavirus isolate Ebola virus/H.sap-wt/COD/2014/Boende-Lokolia, partial genome"
"AIO11754","","297","GP-Second","Homo sapiens","Democratic Republic of the Congo","blood","2014","2014/10/17","Zaire ebolavirus isolate Ebola virus/H.sap-wt/COD/2014/Boende-Lokolia, partial genome"
"AIN75249","","184","L","Homo sapiens","Democratic Republic of the Congo","blood","2014/08/22","2014/09/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-frag/COD/2014/Lomela-Lokolia16 L protein (L) gene, partial cds"
"AIN75250","","184","L","Homo sapiens","Democratic Republic of the Congo","blood","2014/08/22","2014/09/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-frag/COD/2014/Lomela-Lokolia17 L protein (L) gene, partial cds"
