"accession","biosample_acc","length","genome_region","host","country","isolation","collection_date","release_date","name"
"AAB37093","","676","GP-Spike","","","","","1995/10/26","Cote d''Ivoire Ebola virus virion spike glycoprotein (SP) gene, complete cds, and small/secreted glycoprotein precursor (SGP) gene, complete cds"
"AAB37092","","365","GP-Small","","","","","1995/10/26","Cote d''Ivoire Ebola virus virion spike glycoprotein (SP) gene, complete cds, and small/secreted glycoprotein precursor (SGP) gene, complete cds"
"ABS19985","","240","L","","Cote d'Ivoire","","","2007/10/28","Cote d''Ivoire ebolavirus isolate Ivory Coast L protein (L) gene, partial cds"
"ABI97962","","212","L","","Cote d'Ivoire","","","2006/10/07","Cote d''Ivoire ebolavirus polymerase L gene, partial cds"
"ACI28629","","739","NP","Homo sapiens","Cote d'Ivoire","","1994/11","2008/11/21","Cote d''Ivoire ebolavirus, complete genome"
"ACI28630","","341","vp35","Homo sapiens","Cote d'Ivoire","","1994/11","2008/11/21","Cote d''Ivoire ebolavirus, complete genome"
"ACI28631","","326","vp40","Homo sapiens","Cote d'Ivoire","","1994/11","2008/11/21","Cote d''Ivoire ebolavirus, complete genome"
"ACI28632","","676","GP-Spike","Homo sapiens","Cote d'Ivoire","","1994/11","2008/11/21","Cote d''Ivoire ebolavirus, complete genome"
"ACI28633","","365","GP-Small","Homo sapiens","Cote d'Ivoire","","1994/11","2008/11/21","Cote d''Ivoire ebolavirus, complete genome"
"ACI28634","","289","vp30","Homo sapiens","Cote d'Ivoire","","1994/11","2008/11/21","Cote d''Ivoire ebolavirus, complete genome"
"ACI28635","","251","vp24","Homo sapiens","Cote d'Ivoire","","1994/11","2008/11/21","Cote d''Ivoire ebolavirus, complete genome"
"ACI28636","","2210","L","Homo sapiens","Cote d'Ivoire","","1994/11","2008/11/21","Cote d''Ivoire ebolavirus, complete genome"
"ACI28637","","302","GP-Second","Homo sapiens","Cote d'Ivoire","","1994/11","2008/11/21","Cote d''Ivoire ebolavirus, complete genome"
"AWK96622","SAMN07796368","739","NP","Homo sapiens","Cote d'Ivoire","blood","1994","2018/05/23","Tai Forest ebolavirus isolate Ebola virus/H.sapiens-tc/Cote d''Ivoire/1994/Tai Forest-R4371, complete genome"
"AWK96623","SAMN07796368","341","vp35","Homo sapiens","Cote d'Ivoire","blood","1994","2018/05/23","Tai Forest ebolavirus isolate Ebola virus/H.sapiens-tc/Cote d''Ivoire/1994/Tai Forest-R4371, complete genome"
"AWK96624","SAMN07796368","326","vp40","Homo sapiens","Cote d'Ivoire","blood","1994","2018/05/23","Tai Forest ebolavirus isolate Ebola virus/H.sapiens-tc/Cote d''Ivoire/1994/Tai Forest-R4371, complete genome"
"AWK96625","SAMN07796368","676","GP-Spike","Homo sapiens","Cote d'Ivoire","blood","1994","2018/05/23","Tai Forest ebolavirus isolate Ebola virus/H.sapiens-tc/Cote d''Ivoire/1994/Tai Forest-R4371, complete genome"
"AWK96626","SAMN07796368","365","GP-Small","Homo sapiens","Cote d'Ivoire","blood","1994","2018/05/23","Tai Forest ebolavirus isolate Ebola virus/H.sapiens-tc/Cote d''Ivoire/1994/Tai Forest-R4371, complete genome"
"AWK96627","SAMN07796368","302","GP-Second","Homo sapiens","Cote d'Ivoire","blood","1994","2018/05/23","Tai Forest ebolavirus isolate Ebola virus/H.sapiens-tc/Cote d''Ivoire/1994/Tai Forest-R4371, complete genome"
"AWK96628","SAMN07796368","289","vp30","Homo sapiens","Cote d'Ivoire","blood","1994","2018/05/23","Tai Forest ebolavirus isolate Ebola virus/H.sapiens-tc/Cote d''Ivoire/1994/Tai Forest-R4371, complete genome"
"AWK96629","SAMN07796368","251","vp24","Homo sapiens","Cote d'Ivoire","blood","1994","2018/05/23","Tai Forest ebolavirus isolate Ebola virus/H.sapiens-tc/Cote d''Ivoire/1994/Tai Forest-R4371, complete genome"
"AWK96630","SAMN07796368","2210","L","Homo sapiens","Cote d'Ivoire","blood","1994","2018/05/23","Tai Forest ebolavirus isolate Ebola virus/H.sapiens-tc/Cote d''Ivoire/1994/Tai Forest-R4371, complete genome"
"ALT19758","","739","NP","Homo sapiens","Cote d'Ivoire","","1994/11/27","2015/12/22","Tai Forest ebolavirus isolate Tai Forest virus/H. sapiens-tc/CIV/1994/Tai Forest-CDC807212, complete genome"
"ALT19759","","341","vp35","Homo sapiens","Cote d'Ivoire","","1994/11/27","2015/12/22","Tai Forest ebolavirus isolate Tai Forest virus/H. sapiens-tc/CIV/1994/Tai Forest-CDC807212, complete genome"
"ALT19760","","326","vp40","Homo sapiens","Cote d'Ivoire","","1994/11/27","2015/12/22","Tai Forest ebolavirus isolate Tai Forest virus/H. sapiens-tc/CIV/1994/Tai Forest-CDC807212, complete genome"
"ALT19761","","303","","Homo sapiens","Cote d'Ivoire","","1994/11/27","2015/12/22","Tai Forest ebolavirus isolate Tai Forest virus/H. sapiens-tc/CIV/1994/Tai Forest-CDC807212, complete genome"
