"","accession_number","virus_family","virus_species"
"1","NC_016144","Filoviridae","Lloviu cuevavirus isolate Lloviu virus/M.schreibersii-wt/ESP/2003/Asturias-Bat86"
"2","NC_055510","Filoviridae","Mengla dianlovirus isolate Rousettus-wt/CHN/2015/Sharen-Bat9447-1"
"3","NC_039345","Filoviridae","Bombali ebolavirus isolate Bombali ebolavirus/Mops condylurus/SLE/2016/PREDICT_SLAB000156"
"4","NC_014373","Filoviridae","Bundibugyo ebolavirus"
"5","NC_004161","Filoviridae","Reston ebolavirus isolate Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania"
"6","NC_006432","Filoviridae","Sudan ebolavirus isolate Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892"
"7","NC_014372","Filoviridae","Tai Forest ebolavirus isolate Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI"
"8","NC_002549","Filoviridae","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga"
"9","NC_001608","Filoviridae","Marburg marburgvirus isolate Marburg virus/H.sapiens-tc/KEN/1980/Mt. Elgon-Musoke"
"10","NC_024781","Filoviridae","Marburg marburgvirus isolate Ravn virus/H.sapiens-tc/KEN/1987/Kitum Cave-810040"
"11","NC_055175","Filoviridae","Wenling frogfish filovirus strain XYHYS28627 nucleoprotein"
"12","NC_055176","Filoviridae","Wenling thamnaconus septentrionalis filovirus strain LQMMTII17328 hypothetical protein"
"13","NC_032430","Artoviridae","Beihai barnacle virus 8 strain BHTH14652 hypothetical protein 1"
"14","NC_032555","Artoviridae","Beihai rhabdo-like virus 1 strain BHTSS15727 hypothetical protein 1"
"15","NC_032558","Artoviridae","Beihai rhabdo-like virus 2 strain BHTSS7258 hypothetical protein 1"
"16","NC_055115","Artoviridae","Hubei rhabdo-like virus 5 strain WHSFII19440 RNA-dependent RNA polymerase gene"
"17","NC_055114","Artoviridae","Hubei rhabdo-like virus 6 strain QTM24798 hypothetical protein and RNA-dependent RNA polymerase genes"
"18","NC_055113","Artoviridae","Hubei rhabdo-like virus 8 strain QTM19395 RNA-dependent RNA polymerase gene"
"19","NC_038269","Artoviridae","Pteromalus puparum negative-strand RNA virus 1"
"20","NC_039013","Bornaviridae","Jungle carpet python virus"
"21","NC_039014","Bornaviridae","Southwest carpet python virus"
"22","NC_055169","Bornaviridae","Wuhan sharpbelly bornavirus strain DSYS4497 nucleoprotein gene"
"23","NC_029642","Bornaviridae","Aquatic bird bornavirus 1"
"24","NC_030691","Bornaviridae","Aquatic bird bornavirus 2"
"25","NC_001607","Bornaviridae","Borna disease virus 1"
"26","NC_030692","Bornaviridae","Borna disease virus 2"
"27","NC_030690","Bornaviridae","Canary bornavirus 1"
"28","NC_027892","Bornaviridae","Canary bornavirus 2"
"29","NC_024296","Bornaviridae","Canary bornavirus 3"
"30","NC_038268","Bornaviridae","Estrildid finch bornavirus 1 isolate VS-4707 nucleoprotein (N)"
"31","NC_024778","Bornaviridae","Loveridges garter snake virus 1 strain 251327"
"32","NC_039189","Bornaviridae","Parrot bornavirus 1 strain M25 N protein (N)"
"33","NC_028106","Bornaviridae","Parrot bornavirus 2"
"34","NC_030688","Bornaviridae","Parrot bornavirus 4"
"35","NC_030689","Bornaviridae","Parrot bornavirus 7"
"36","NC_039190","Bornaviridae","Parrot bornavirus 5 strain 2014-A"
"37","NC_030701","Bornaviridae","Variegated squirrel bornavirus 1"
"38","NC_031259","Lispiviridae","Lishi Spider Virus 2 strain LSZZ-4 ORF1 (ORF1)"
"39","NC_032944","Lispiviridae","Hubei odonate virus 10 strain QTM133243 hypothetical protein 1"
"40","NC_031270","Lispiviridae","Tacheng Tick Virus 6 strain TCRP-2 ORF1 (ORF1)"
"41","NC_032929","Lispiviridae","Hubei rhabdo-like virus 3 strain QCM135517 hypothetical protein 1"
"42","NC_033436","Lispiviridae","Wuchan romanomermis nematode virus 2 strain WCLSXC55347 hypothetical protein 1"
"43","NC_031088","Lispiviridae","Sanxia Water Strider Virus 4 strain SXSSP12 ORF1 (ORF1)"
"44","NC_043483","Mymonaviridae","Sclerotinia sclerotiorum negative-stranded RNA virus 4 isolate 257 gp5"
