"accession","biosample_acc","length","genome_region","host","country","isolation","collection_date","release_date","name"
"AAD14582","","340","vp35","","Democratic Republic of the Congo","","1976","1999/02/10","Ebola virus - Mayinga, Zaire, 1976, complete genome"
"AAD14583","","326","vp40","","Democratic Republic of the Congo","","1976","1999/02/10","Ebola virus - Mayinga, Zaire, 1976, complete genome"
"AAD14584","","364","GP-Small","","Democratic Republic of the Congo","","1976","1999/02/10","Ebola virus - Mayinga, Zaire, 1976, complete genome"
"AAD14585","","676","GP-Spike","","Democratic Republic of the Congo","","1976","1999/02/10","Ebola virus - Mayinga, Zaire, 1976, complete genome"
"AAD14586","","297","GP-Second","","Democratic Republic of the Congo","","1976","1999/02/10","Ebola virus - Mayinga, Zaire, 1976, complete genome"
"AAD14587","","288","vp30","","Democratic Republic of the Congo","","1976","1999/02/10","Ebola virus - Mayinga, Zaire, 1976, complete genome"
"AAD14588","","251","vp24","","Democratic Republic of the Congo","","1976","1999/02/10","Ebola virus - Mayinga, Zaire, 1976, complete genome"
"AAD14589","","2212","L","","Democratic Republic of the Congo","","1976","1999/02/10","Ebola virus - Mayinga, Zaire, 1976, complete genome"
"AAD14590","","739","NP","","Democratic Republic of the Congo","","1976","1999/02/10","Ebola virus - Mayinga, Zaire, 1976, complete genome"
"SCD11531","SAMEA4353589","739","NP","","","","","2016/08/09","Ebola virus isolate Ebola virus Makona isolate Frankfurt genome assembly, complete genome: monopartite"
"SCD11532","SAMEA4353589","340","vp35","","","","","2016/08/09","Ebola virus isolate Ebola virus Makona isolate Frankfurt genome assembly, complete genome: monopartite"
"SCD11533","SAMEA4353589","326","vp40","","","","","2016/08/09","Ebola virus isolate Ebola virus Makona isolate Frankfurt genome assembly, complete genome: monopartite"
"SCD11534","SAMEA4353589","676","GP-Spike","","","","","2016/08/09","Ebola virus isolate Ebola virus Makona isolate Frankfurt genome assembly, complete genome: monopartite"
"SCD11535","SAMEA4353589","364","GP-Small","","","","","2016/08/09","Ebola virus isolate Ebola virus Makona isolate Frankfurt genome assembly, complete genome: monopartite"
"SCD11536","SAMEA4353589","297","GP-Second","","","","","2016/08/09","Ebola virus isolate Ebola virus Makona isolate Frankfurt genome assembly, complete genome: monopartite"
"SCD11537","SAMEA4353589","288","vp30","","","","","2016/08/09","Ebola virus isolate Ebola virus Makona isolate Frankfurt genome assembly, complete genome: monopartite"
"SCD11538","SAMEA4353589","251","vp24","","","","","2016/08/09","Ebola virus isolate Ebola virus Makona isolate Frankfurt genome assembly, complete genome: monopartite"
"SCD11539","SAMEA4353589","2212","L","","","","","2016/08/09","Ebola virus isolate Ebola virus Makona isolate Frankfurt genome assembly, complete genome: monopartite"
"CAC79598","","326","vp40","","","","","2006/01/07","Ebola virus strain Gabon-94 mRNA for VP40 protein"
"AYA81866","","739","NP","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0013"
"AYA81867","","340","vp35","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0013"
"AYA81868","","326","vp40","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0013"
"AYA81869","","676","GP-Spike","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0013"
"AYA81870","","364","GP-Small","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0013"
"AYA81871","","297","GP-Second","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0013"
"AYA81872","","288","vp30","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0013"
"AYA81873","","251","vp24","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0013"
"AYA81874","","2212","L","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0013"
"AYA81875","","739","NP","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0019"
"AYA81876","","340","vp35","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0019"
"AYA81877","","326","vp40","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0019"
"AYA81878","","676","GP-Spike","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0019"
"AYA81879","","364","GP-Small","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0019"
"AYA81880","","297","GP-Second","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0019"
"AYA81881","","288","vp30","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0019"
"AYA81882","","251","vp24","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0019"
"AYA81883","","2212","L","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0019"
"AYA81884","","739","NP","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0022"
"AYA81885","","340","vp35","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0022"
"AYA81886","","326","vp40","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0022"
"AYA81887","","676","GP-Spike","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0022"
"AYA81888","","364","GP-Small","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0022"
"AYA81889","","297","GP-Second","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0022"
"AYA81890","","288","vp30","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0022"
"AYA81891","","251","vp24","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0022"
"AYA81892","","2212","L","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0022"
"AYA81893","","739","NP","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0023"
"AYA81894","","340","vp35","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0023"
"AYA81895","","326","vp40","","Sierra Leone","","2014/08/26","2019/01/18","UNVERIFIED: Zaire ebolavirus isolate NICD0023"
