"accession","biosample_acc","length","genome_region","host","country","isolation","collection_date","release_date","name"
"ABO20974","","113","L","","Sudan","","","2007/03/10","Ebola virus Yambio0401 polymerase (L) gene, partial cds"
"ABO20975","","113","L","","Sudan","","","2007/03/10","Ebola virus Yambio0402 polymerase (L) gene, partial cds"
"ABO20976","","113","L","","Sudan","","","2007/03/10","Ebola virus Yambio0403 polymerase (L) gene, partial cds"
"AAA79970","","2210","L","","","","1979","1995/10/26","Sudan Ebola virus Maleo strain RNA-dependent RNA polymerase (L) gene, complete cds"
"AAC54882","","676","GP-Spike","","","","","1995/10/26","Sudan Ebola virus Maleo strain glycoprotein (GP) gene, complete cds"
"AAC54883","","372","GP-Small","","","","","1995/10/26","Sudan Ebola virus Maleo strain glycoprotein (GP) gene, complete cds"
"AAD51107","","738","NP","","","","","1999/08/24","Sudan Ebola virus strain Boniface subtype Sudan nucleocapsid protein (NP) mRNA, complete cds"
"AAB37097","","372","GP-Small","","","","","1995/10/26","Sudan Ebola virus strain Boniface virion spike glycoprotein (SP) gene, complete cds, and small/secreted glycoprotein precursor (SGP) gene, complete cds"
"AAB37096","","676","GP-Spike","","","","","1995/10/26","Sudan Ebola virus strain Boniface virion spike glycoprotein (SP) gene, complete cds, and small/secreted glycoprotein precursor (SGP) gene, complete cds"
"AFP28224","","738","NP","Homo sapiens","Uganda","blood","2011/05","2012/08/06","Sudan ebolavirus - Nakisamata, complete genome"
"AFP28225","","329","vp35","Homo sapiens","Uganda","blood","2011/05","2012/08/06","Sudan ebolavirus - Nakisamata, complete genome"
"AFP28226","","326","vp40","Homo sapiens","Uganda","blood","2011/05","2012/08/06","Sudan ebolavirus - Nakisamata, complete genome"
"AFP28227","","288","vp30","Homo sapiens","Uganda","blood","2011/05","2012/08/06","Sudan ebolavirus - Nakisamata, complete genome"
"AFP28228","","251","vp24","Homo sapiens","Uganda","blood","2011/05","2012/08/06","Sudan ebolavirus - Nakisamata, complete genome"
"AFP28229","","2210","L","Homo sapiens","Uganda","blood","2011/05","2012/08/06","Sudan ebolavirus - Nakisamata, complete genome"
"AFP28230","","372","GP-Small","Homo sapiens","Uganda","blood","2011/05","2012/08/06","Sudan ebolavirus - Nakisamata, complete genome"
"AFP28231","","676","GP-Spike","Homo sapiens","Uganda","blood","2011/05","2012/08/06","Sudan ebolavirus - Nakisamata, complete genome"
"ALH21225","","738","NP","Suidae","","","","2015/10/10","Sudan ebolavirus isolate Boniface, complete genome"
"ALH21226","","329","vp35","Suidae","","","","2015/10/10","Sudan ebolavirus isolate Boniface, complete genome"
"ALH21227","","326","vp40","Suidae","","","","2015/10/10","Sudan ebolavirus isolate Boniface, complete genome"
"ALH21228","","676","GP-Spike","Suidae","","","","2015/10/10","Sudan ebolavirus isolate Boniface, complete genome"
"ALH21229","","372","GP-Small","Suidae","","","","2015/10/10","Sudan ebolavirus isolate Boniface, complete genome"
